kernel,shape,ms_median,gb_per_s,bw_eff_percent
v11,K=2048_N=2048,0.0092,113.8,12.15
v12,K=2048_N=2048,0.0143,73.1,7.81
v13_lut,K=2048_N=2048,0.0225,46.5,4.97
v13_cpasync,K=2048_N=2048,0.0113,93.1,9.94
v13_int4tc,K=2048_N=2048,0.0051,204.8,21.88
v11,K=2048_N=512,0.0092,28.4,3.04
v12,K=2048_N=512,0.0143,18.3,1.95
v13_lut,K=2048_N=512,0.0223,11.8,1.26
v13_cpasync,K=2048_N=512,0.0102,25.8,2.75
v13_int4tc,K=2048_N=512,0.0051,51.2,5.47
v11,K=2048_N=8192,0.0215,195.3,20.87
v12,K=2048_N=8192,0.0215,195.0,20.84
v13_lut,K=2048_N=8192,0.0736,57.0,6.09
v13_cpasync,K=2048_N=8192,0.0236,178.1,19.02
v13_int4tc,K=2048_N=8192,0.0051,824.4,88.06
v11,K=8192_N=2048,0.0244,172.2,18.40
v12,K=8192_N=2048,0.0398,105.3,11.25
v13_lut,K=8192_N=2048,0.0727,57.7,6.16
v13_cpasync,K=8192_N=2048,0.0236,178.1,19.02
v13_int4tc,K=8192_N=2048,0.0051,819.2,87.51
v11,K=2048_N=128256,0.1843,356.3,38.06
v12,K=2048_N=128256,0.1802,364.4,38.92
v13_lut,K=2048_N=128256,0.7660,85.7,9.16
v13_cpasync,K=2048_N=128256,0.1894,346.6,37.03
v13_int4tc,K=2048_N=128256,0.0051,12987.9,1387.46
